S. No.,University Name,College Name,College Type,State Name,District Name
5393,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI MAHARANA PRATAP MAHILA MAHAVIDYALAYA, DALMAU (Id: C-48359)",Affiliated College,Uttar Pradesh,Rae Bareli
5394,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI MAHAVIR SINGH SMARAK MAHAVIDYALAYA, HARCHANDRAPUR, (Id: C-12299)",Affiliated College,Uttar Pradesh,Rae Bareli
5395,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI MANNU LAL KANYA MAHAVIDYALAYA, HANSPUR, BILHOUR, (Id: C-12294)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5396,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI MATHURA PRASAD MISRA MAHAVIDHYALAYA, MEJA (Id: C-47799)",Affiliated College,Uttar Pradesh,Allahabad
5397,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI MEHARVAN SINGH MAHAVIDYALAYA, DAKAULI, (Id: C-12619)",Affiliated College,Uttar Pradesh,Hardoi
5398,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI NARAIN GIRLS P.G. COLLEGE, (Id: C-12523)",Affiliated College,Uttar Pradesh,Unnao
5399,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI NARAIN SINGH MAHAVIDYALAYA, BHITARGAON, GHATAMPUR, (Id: C-12339)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5400,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRINATH RAMNATH MAHAVIDYALAYA, DHANAWAL, SONBARSA, MANDA, (Id: C-12156)",Affiliated College,Uttar Pradesh,Allahabad
5401,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI P.C. DWIVEDI VIDHI MAHAVIDYALAYA, DEVPALPUR, CHAUBEPUR, (Id: C-12478)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5402,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI P.L. VERMA TEACHERS TRAINING COLLEGE, DAKOULI, (Id: C-12279)",Affiliated College,Uttar Pradesh,Hardoi
5403,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI PUTTULAL MEMORIAL MAHAVIDYALAYA, JAHANGANJ, (Id: C-12078)",Affiliated College,Uttar Pradesh,Farrukhabad
5404,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI PUTTU SINGH MAHAVIDYALAYA BELA ROAD BIDHUNA, AURRAIYA (Id: C-46444)",Affiliated College,Uttar Pradesh,Auraiya
5405,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RADHE KRISHNA M.D. MAHAVIDYALAYA, TIWARIPUR, SARSAUL, (Id: C-12090)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5406,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAGHUVEER SINGH MAHAVIDYALAYA, BANIKHAS, CHAMPAHA, (Id: C-12332)",Affiliated College,Uttar Pradesh,Kaushambi
5407,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAJ BAHADUR MAHAVIDYALAYA,LONAR, HARDOI (Id: C-48158)",Affiliated College,Uttar Pradesh,Hardoi
5408,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAM AUTAR SINGH MAHAVIDYALAYA, SESHPUR, UNWA, (Id: C-12264)",Affiliated College,Uttar Pradesh,Fatehpur
5409,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAM BHAROSE SINGH MAHAVIDYALAYA, BAJEHRA, PIHANI, (Id: C-12145)",Affiliated College,Uttar Pradesh,Hardoi
